epoch,T_loss,V_loss,train_time,epoch_time,Tloss_LpLoss.mean,Tloss_LpLoss.std,Tloss_LpLoss.cv,Tloss_LpLoss.min,Tloss_LpLoss.max,Vloss_LpLoss.mean,Vloss_LpLoss.std,Vloss_LpLoss.cv,Vloss_LpLoss.min,Vloss_LpLoss.max,WTloss_LpLoss,WVloss_LpLoss,Teval_R2.mean,Teval_R2.std,Teval_R2.cv,Teval_R2.min,Teval_R2.max,Veval_R2.mean,Veval_R2.std,Veval_R2.cv,Veval_R2.min,Veval_R2.max,Teval_MAE.mean,Teval_MAE.std,Teval_MAE.cv,Teval_MAE.min,Teval_MAE.max,Veval_MAE.mean,Veval_MAE.std,Veval_MAE.cv,Veval_MAE.min,Veval_MAE.max,Teval_MAPE.mean,Teval_MAPE.std,Teval_MAPE.cv,Teval_MAPE.min,Teval_MAPE.max,Veval_MAPE.mean,Veval_MAPE.std,Veval_MAPE.cv,Veval_MAPE.min,Veval_MAPE.max
1,1.156166989326477,1.0386864457811629,6.489753723144531,7.033594369888306,1.156166989326477,0.00594810675829649,0.005726845225463171,1.0302921533584595,1.0703153610229492,1.0386864457811629,0.00588946882635355,0.005670162720462258,1.030555009841919,1.0707706212997437,1.156166989326477,1.0386864457811629,-0.6041961490511895,0.014747829176485538,-0.05088995912801916,-0.3779454231262207,-0.258001446723938,-0.2895689138344356,0.014432544820010662,-0.04984086701601955,-0.35450279712677,-0.2605278491973877,0.6502796573638916,0.007160814478993416,0.012273070185779819,0.5471384525299072,0.6000332236289978,0.5835603589103335,0.006980679929256439,0.011962442060234885,0.5591949820518494,0.5967767834663391,431.90978454589845,760.0778198242188,2.012001779489517,255.73095703125,36044.70703125,371.88846358041917,378.7541198730469,1.016916884782006,261.4022521972656,9343.9833984375
2,0.8849664769172668,0.7625805603133308,6.025951862335205,6.408288955688477,0.8849664769172668,0.008870536461472511,0.011631263952633029,0.7518998980522156,0.8127894401550293,0.7625805603133308,0.008731596171855927,0.011449796151060654,0.7524341940879822,0.8184131383895874,0.8849664769172668,0.7625805603133308,0.056082255437970165,0.017246916890144348,0.05664076722329623,0.18880444765090942,0.32704395055770874,0.3048151835562691,0.016726460307836533,0.054882558005930775,0.2104596495628357,0.3269055485725403,0.4949854775071144,0.005095222499221563,0.011965689895883484,0.39721256494522095,0.44074034690856934,0.42582796868823825,0.005129375960677862,0.012045096329181817,0.4072473645210266,0.4401742219924927,344.6281941833496,464.0024719238281,1.6576966000088966,197.97689819335938,28483.724609375,300.83331686352926,706.0040893554688,2.343165692202075,202.09979248046875,17389.958984375
3,0.6411229609251022,0.5352750950389438,5.974462270736694,6.355997323989868,0.6411229609251022,0.012912479229271412,0.024116819087442447,0.5211966633796692,0.6114214658737183,0.5352750950389438,0.01277841068804264,0.02387193176039362,0.5217105150222778,0.6141704320907593,0.6411229609251022,0.5352750950389438,0.5032269804477691,0.01766936667263508,0.02689286384631114,0.5371103286743164,0.6774393320083618,0.6573120809736706,0.017298903316259384,0.026318711914248647,0.5553616285324097,0.6760166883468628,0.35387170094251635,0.006683175917714834,0.022869110150603555,0.2740689516067505,0.32487818598747253,0.29219070313468815,0.006771273910999298,0.02317452826291595,0.27726954221725464,0.3224712014198303,227.3189721069336,363.3202819824219,1.879112375783994,125.27567291259766,19155.787109375,202.0465049138145,424.0912780761719,2.0987756180810413,128.28268432617188,12079.20703125
4,0.4167394784092903,0.3087432829160539,5.97951865196228,6.36366605758667,0.4167394784092903,0.016251321882009506,0.052627056329948546,0.2900576591491699,0.4101831316947937,0.3087432829160539,0.016279494389891624,0.05273502212122827,0.290770560503006,0.40983718633651733,0.4167394784092903,0.3087432829160539,0.7867760726213455,0.012757370248436928,0.014404381985547778,0.7997816801071167,0.8995361328125,0.8857375534753951,0.012709163129329681,0.01434825071280515,0.8020060658454895,0.8992010354995728,0.2223941879272461,0.009734542109072208,0.06013406595237484,0.1472884565591812,0.21483804285526276,0.16187363413591233,0.009799731895327568,0.06054843404255789,0.14958369731903076,0.21439918875694275,141.7083025970459,268.48028564453125,2.4746042278515694,57.38037872314453,15817.810546875,114.3604237389943,285.6579284667969,2.4954130274711828,62.54640197753906,6353.02099609375
5,0.18488923062384127,0.09890310253415789,5.982178449630737,6.494441032409668,0.18488923062384127,0.028228169307112694,0.2847732743771375,0.060354702174663544,0.2409898340702057,0.09890310253415789,0.027950158342719078,0.28265567997955393,0.06286683678627014,0.2326832115650177,0.18488923062384127,0.09890310253415789,0.953703810930252,0.00802840106189251,0.008131822239671207,0.9280350804328918,0.9956642389297485,0.9873620933956571,0.007875003851950169,0.007975781596546693,0.9361796379089355,0.9952981472015381,0.09515434370189906,0.01554880477488041,0.2954343564382506,0.02892295829951763,0.12491989880800247,0.05252991368373235,0.015433089807629585,0.2938318336482216,0.030736684799194336,0.12115999311208725,72.07595500946044,176.22195434570312,3.4327427527748275,17.495635986328125,11257.25390625,54.32463122171069,199.74627685546875,3.6668708007637907,18.467586517333984,6112.0947265625
6,0.06462695245444774,0.050370056536935624,5.959606647491455,6.363814353942871,0.06462695245444774,0.017564186826348305,0.3478650993180816,0.02350788377225399,0.13727301359176636,0.050370056536935624,0.017291216179728508,0.3431905637475992,0.023181337863206863,0.12494637072086334,0.06462695245444774,0.050370056536935624,0.9940904178619385,0.0025447055231779814,0.0025534463642176023,0.9766496419906616,0.9993420839309692,0.9966053205823141,0.0024754484184086323,0.0024838858525297446,0.9815975427627563,0.9993606805801392,0.03454590514302254,0.008974120952188969,0.33065830792000284,0.012947735376656055,0.0705757588148117,0.0270717620613083,0.008826441131532192,0.325937917812071,0.012951924465596676,0.06401584297418594,36.3460645904541,99.82035827636719,3.6332119453748635,7.816835403442383,7314.875,29.161868171086386,121.40071105957031,4.1674904773051304,8.350081443786621,3711.405517578125
7,0.03287172877416015,0.022125753470593028,5.949084758758545,6.363512754440308,0.03287172877416015,0.005438308231532574,0.24580700080334106,0.01572245918214321,0.05514712631702423,0.022125753470593028,0.005482050124555826,0.2473520921174262,0.01591816358268261,0.047615934163331985,0.03287172877416015,0.022125753470593028,0.9984504345655442,0.0003414943057578057,0.00034170647184765264,0.9963362216949463,0.9997053742408752,0.9993785127760872,0.00034597827470861375,0.00034619409383065253,0.9973083138465881,0.9996985197067261,0.017553138103336096,0.0027475759852677584,0.2285266551289978,0.008617492392659187,0.026207679882645607,0.012025278933819324,0.0027661288622766733,0.22978480006511107,0.00876673124730587,0.023902196437120438,17.62278849220276,34.93366622924805,3.1372661938034576,5.2738542556762695,2377.53515625,11.391426707070972,28.66731071472168,2.516796011018027,5.576565265655518,703.484130859375
8,0.015456708181649447,0.015362351349303647,6.0299248695373535,6.423497676849365,0.015456708181649447,0.0020180416759103537,0.13253901781499258,0.013377213850617409,0.029491372406482697,0.015362351349303647,0.002144493395462632,0.14036092783454882,0.013392258435487747,0.026884229853749275,0.015456708181649447,0.015362351349303647,0.9996898183822632,8.453160990029573e-05,8.455546373932828e-05,0.99895840883255,0.9997878074645996,0.9997122997329349,9.180857887258753e-05,9.183472162657535e-05,0.9991154074668884,0.9997873306274414,0.008318331938236952,0.0009339804528281093,0.11294432272410496,0.007287090644240379,0.01407641265541315,0.008329366496394552,0.0009701995295472443,0.11710828913525399,0.007287651300430298,0.013572873547673225,8.180637580871583,22.44414520263672,2.8444429618553184,4.71510648727417,1428.581298828125,7.440754398467049,5.0619354248046875,0.6837820533465594,4.828459739685059,93.39797973632812
9,0.011096116553992032,0.0135261102298659,5.966880798339844,6.3578877449035645,0.011096116553992032,0.001647293334826827,0.12235360879169042,0.011975045315921307,0.028152408078312874,0.0135261102298659,0.001788876485079527,0.13215015262901053,0.011983293108642101,0.02565932832658291,0.011096116553992032,0.0135261102298659,0.9998453882932663,6.168943218654022e-05,6.170300689395565e-05,0.9990508556365967,0.9998301863670349,0.9997773709751311,6.848866905784234e-05,6.850394005010872e-05,0.9991888403892517,0.9998294711112976,0.005921734460629523,0.000715312547981739,0.0986303857239746,0.0064309691078960896,0.012456382624804974,0.007275814789214304,0.0007527357083745301,0.10346461086383531,0.00654010521247983,0.012562171556055546,5.582061544418335,13.669818878173828,1.8005058278099026,5.144197463989258,977.4285278320312,7.624675924815829,6.848812103271484,0.9077680371100983,5.365052223205566,107.52256774902344
10,0.009475132883526385,0.012138156220316887,5.963064432144165,6.451622486114502,0.009475132883526385,0.0016656313091516495,0.13848955569865576,0.010172990150749683,0.026271328330039978,0.012138156220316887,0.0017571463249623775,0.1453263443149871,0.01023715827614069,0.024251675233244896,0.009475132883526385,0.012138156220316887,0.9998861944675446,5.605843762168661e-05,5.606832640048155e-05,0.9991734623908997,0.9998782277107239,0.9998201160203843,6.0067341109970585e-05,6.007806600065996e-05,0.9993067383766174,0.999877393245697,0.005006948030088097,0.0007577755604870617,0.11643818573704862,0.005529368296265602,0.011875269934535027,0.006555035732509125,0.0007662344723939896,0.11735966222176956,0.0055970074608922005,0.011745269410312176,4.477991102695465,14.621467590332031,2.085445664354503,4.814169406890869,755.6165161132812,7.1057122094290595,11.964655876159668,1.687344957537808,4.88433313369751,326.5143737792969
