n_bins,msfno,resnet,msfno_int,resnet_int
9,0.97934646261607,0.8930729955229081,0.9467927398687598,0.75498219373918
10,0.9781563677908753,0.8566526199728098,0.8710392065692864,0.6948753521925659
12,0.9705287976353888,0.8315835588770956,0.8355603026567587,0.718282812746279
15,0.9697303970345901,0.7932907028409397,0.77647723886712,0.5336719509615219
18,0.9536975339364022,0.7539185746118896,0.758208510238115,0.5957982261357052
20,0.9545749157327157,0.7324224571304668,0.7082733456622753,0.4835239874870165
27,0.9326034346995619,0.6375027634808448,0.5548949747940722,0.3615774163708612
30,0.9312253293780741,0.6017235857877357,0.5246509586207792,0.30056746754617064
36,0.9078118376583854,0.5248478344282669,0.4581639631357748,0.2752054726645497
