n_bins,msfno,resnet,msfno_int,resnet_int
9,0.9793183174111384,0.8924662559204616,0.9474319686437647,0.7833270640343488
10,0.9782848188332659,0.8563565762121736,0.8717404769865098,0.7042058671198623
12,0.9706247591218978,0.829965900612139,0.8405559447222916,0.7411092656608259
15,0.9697889972407097,0.7899392359860079,0.7871612625028221,0.5553748718293439
18,0.9538126040609658,0.7496819126666094,0.7714272493746326,0.6232370678613036
20,0.9548597401331218,0.7283826675921522,0.7192948418674422,0.5103548431038158
27,0.9329243516145342,0.6312669372433435,0.590475677781574,0.41630947511340155
30,0.931664181101268,0.5928642756563942,0.5595919483270763,0.3632181170926759
36,0.9080627354050088,0.5151421618569431,0.497496384818252,0.3308806128586777
