n_bins,msfno,resnet,msfno_int,resnet_int
8,0.971950832499889,0.927689260819321,0.8543829548809401,0.6563469495806464
9,0.9688610717785823,0.9318106441716064,0.787314485750351,0.7793243687601992
10,0.9660135529359959,0.927662921574486,0.8212210994046598,0.7157241112804744
11,0.9698300695901098,0.8978454950305269,0.7948724887940677,0.5614402605375333
12,0.9651116702066941,0.8832840813301952,0.7023802421283244,0.6125648765462514
13,0.9631037348764766,0.8886008105746863,0.70211054027559,0.6065590651745981
14,0.9605910769769201,0.8610100970899185,0.7446678043144405,0.5832715445613763
15,0.9552550276351959,0.8798578572780644,0.7544680618128,0.45425665352799044
16,0.9489133965899685,0.8431588092264465,0.7204219732703447,0.5468412340109123
17,0.9464800049002816,0.8456634077299694,0.6753059345657898,0.49975413095516336
18,0.9397651670417382,0.8475856568222426,0.6597549530550785,0.49533722537987424
19,0.9394701313034487,0.8349575108711934,0.6503260053414114,0.38208019594666737
20,0.9301019221836219,0.8332537764800465,0.6978767465538215,0.47536169116774757
21,0.9287680084753053,0.8038362046214832,0.613167242153069,0.4451212562871695
22,0.9266419151252863,0.7840056824306182,0.6298646863679749,0.41519439982586576
23,0.9199970646673653,0.7947291271198234,0.5811943239404451,0.3897773208036303
24,0.9158454398138369,0.7839926617779204,0.6130122812824204,0.43692645162121285
25,0.9182724585308927,0.7751194434355198,0.5708782820362841,0.40905736296821643
26,0.9089242276615503,0.7605278160224598,0.5710218136620063,0.35047047395158154
27,0.9091735413198414,0.7518341194270372,0.5813673919224237,0.34675153777085593
28,0.9050962868534278,0.7382658811168608,0.5579016802406965,0.3827262561977177
29,0.9073690915384894,0.739110184761836,0.5416618579888332,0.32230799401750226
30,0.892016242274236,0.7370379880720168,0.5559315111991161,0.31044899430340406
31,0.8938347681574191,0.7036149793164049,0.5222966540901107,0.33168989676552363
32,0.8792183251135139,0.7071114863043827,0.5396419458933361,0.3102223786218704
33,0.8822715231717461,0.6832843727771992,0.49382645363951855,0.3220273176182719
34,0.8725399835014842,0.6844354351104546,0.48770584870603906,0.24138946420609772
35,0.8587196515083927,0.6716393053803482,0.48517945358216463,0.32053698896008537
36,0.8669562421632134,0.6743358734243032,0.46474792866507614,0.3087015496210627
37,0.8662492992097341,0.6456567761756637,0.4609673045079266,0.2875765693891733
38,0.8651517949474613,0.6306499644562416,0.4764758867261126,0.2559647155816989
39,0.8549283913557886,0.6322070366954531,0.437815169736871,0.23735418896270694
40,0.8562448892563911,0.6447660441067999,0.45198362095943684,0.2831531065750603
