n_bins,msfno,resnet,msfno_int,resnet_int
9,0.9796254744928206,0.9082065149116672,0.9500721507544567,0.7953603849958909
10,0.9782574945131761,0.8679283120767807,0.8954053051888057,0.7093121793898396
12,0.9707088986773935,0.8466595628417871,0.8753675222817613,0.8032562995115251
15,0.9700803205666677,0.809527921529017,0.8401707538503138,0.5812618841217261
18,0.9540441664017343,0.7753570110962005,0.8341083543651866,0.6574027177862192
20,0.9547347530330438,0.7548867160044865,0.7937417966393687,0.6132845910136118
27,0.9331857664766987,0.6659876158763649,0.6611705767134056,0.45401132989811643
30,0.9316734901594053,0.6298118275540181,0.5909305912964348,0.38150124457063556
36,0.9083269143555405,0.5517759177408748,0.5432828630531487,0.38014462052775666
