,msfno,resnet,msfno_int,resnet_int
Acc,0.9164,0.785,0.6024,0.4414
Prec,0.9243045131776765,0.8041815592055945,0.6099845829458701,0.4567535164603172
Rec,0.9158454398138369,0.7839926617779204,0.6130122812824204,0.43692645162121285
F1,0.9162996976111533,0.7873679921389768,0.5708779700308825,0.3789116832884294
