n_bins,msfno,resnet,msfno_int,resnet_int
9,0.9794073329984933,0.8922651933701657,0.9480160723254646,0.7865394274234053
10,0.9784028126569563,0.855349070818684,0.8744349573078855,0.7114515318935208
12,0.9708689100954294,0.8292315419387243,0.843294826720241,0.7466097438473129
15,0.9698643897538926,0.7898041185334003,0.7935710698141637,0.559266700150678
18,0.9540431943746861,0.7483676544450025,0.7717227523857358,0.6248116524359618
20,0.955047714716223,0.7285283776996484,0.7252636865896535,0.5180813661476645
27,0.9329482672024109,0.6323455549974887,0.589904570567554,0.4176293319939729
30,0.9319437468608739,0.5944249121044701,0.5718232044198895,0.36715218483174283
36,0.9088397790055248,0.5155700652938222,0.5027624309392266,0.32948267202410847
