n_bins,msfno,resnet,msfno_int,resnet_int
8,0.9715901033453463,0.9276279273991636,0.8489106079405679,0.6345265238896076
9,0.9686916593672551,0.9318431966697448,0.7741487976592307,0.7701387726564494
10,0.9658850426002173,0.9281482255020457,0.813065734556812,0.7009872473261525
11,0.9696967772079305,0.8982345682228657,0.7890970059351514,0.5304791037879352
12,0.9649008788033305,0.8841675267809533,0.6961293909977276,0.5729973766976947
13,0.9628954249103034,0.8896221415577685,0.6732504333047432,0.5508315382111131
14,0.960335374053605,0.8626819882398096,0.6957396340568668,0.533474584766528
15,0.9550575581629939,0.8818801601191542,0.7072372385360334,0.4053966208639242
16,0.9487260982867264,0.8435906235869909,0.6794558067957386,0.5044009777564192
17,0.9467670012924277,0.8461665160310852,0.6222265075910461,0.42344972104189743
18,0.9400467459806305,0.8489442775994427,0.6094668683455553,0.4464045351250754
19,0.9398912431121904,0.8357845429475792,0.595432387424228,0.3414631646957166
20,0.9304901850731898,0.835577784782202,0.6486444474148545,0.4359463914065099
21,0.9295087631087521,0.805506729876937,0.5574737901955238,0.3632795883017664
22,0.927108763429229,0.7877524439993746,0.5719875965022607,0.37197339242591404
23,0.9207447094594643,0.7975422979361805,0.5297848771472339,0.31903969242295993
24,0.9162996976111533,0.7873679921389768,0.5708779700308825,0.3789116832884294
25,0.9187962990821247,0.7777580297548127,0.5244192053040938,0.347577370980364
26,0.9089974633993866,0.7614177294540951,0.5200615238660409,0.2882170985831087
27,0.9091087923323076,0.7552401817082003,0.5212894285316384,0.290105931393847
28,0.9045981508459381,0.7410054253581391,0.49099917487178846,0.31277568317126125
29,0.9061730947838585,0.7440623927519415,0.4854420307362036,0.24950190743253062
30,0.8908756389838041,0.7400400134573172,0.49534265917746556,0.25277739697196644
31,0.892963464013239,0.7081500457314365,0.4702582273601874,0.28179377370728864
32,0.8772981417144557,0.710432062921235,0.4726084061133193,0.23015147543433456
33,0.880529327425303,0.6872432473850516,0.4360949869425202,0.2765260085223434
34,0.8703543342492717,0.6889370799419597,0.42273433741990696,0.1817151990544029
35,0.8559395078034351,0.676753434191677,0.4295094501274626,0.26321620929250344
36,0.8643717965091632,0.6782246149053136,0.408964300658752,0.2324068042404239
37,0.8635162951852926,0.650540656100533,0.40198757940726304,0.22406807619250083
38,0.8611551247295954,0.6343116325108538,0.4194579248550518,0.19561863740906213
39,0.8503558963192134,0.6393455396224242,0.3769867459434755,0.17928862276506513
40,0.8507800467070565,0.6503911225932363,0.3906001887355809,0.22327345932259135
