,msfno,resnet,msfno_int,resnet_int
Acc,0.89,0.7368,0.549,0.3028
Prec,0.9013895689337843,0.760804237816443,0.5775910484088924,0.30859021473305986
Rec,0.892016242274236,0.7370379880720168,0.5559315111991161,0.31044899430340406
F1,0.8908756389838041,0.7400400134573172,0.49534265917746556,0.25277739697196644
