n_bins,msfno,resnet,msfno_int,resnet_int
8,0.971442208044007,0.928504377844445,0.8563810442443954,0.6632547288612771
9,0.9687354632088786,0.9398368369985628,0.7990664982440371,0.7844540999194216
10,0.9659516343977066,0.9304768337660677,0.8264724431881566,0.7360764022351658
11,0.9696916491303539,0.9122355566776065,0.7988981792431479,0.5232530285094993
12,0.9648830019804611,0.8927338613619451,0.7160563681319682,0.6607867149997589
13,0.9628697385320133,0.9019755047689978,0.6957629261617148,0.6203731318771252
14,0.9603780876480462,0.8766484600326466,0.7687242996249146,0.6046778405197824
15,0.9552375421357594,0.8945374850860042,0.7757084007866143,0.4581105958519908
16,0.9490741350584606,0.8582670099212377,0.7844030248690199,0.5678848998850164
17,0.9479187763983143,0.8582283004168294,0.6973071606103601,0.4579486689193374
18,0.9414466212516088,0.8632029274507901,0.6841481649804846,0.4962662015661345
19,0.9415902804795677,0.849221619727397,0.6859462109395269,0.41807071578019717
20,0.9329148260170737,0.8517019644846074,0.6789048884890232,0.4907552000867459
21,0.9336558729883523,0.8260592968199914,0.6253774577426375,0.38890779355435706
22,0.9314542606453543,0.8089294111508256,0.6306895589671146,0.45179182620804254
23,0.9270415717273454,0.8158926383015705,0.5922091782770597,0.3358836446590252
24,0.9243045131776765,0.8041815592055945,0.6099845829458701,0.4567535164603172
25,0.9263512490887696,0.7966088962242057,0.5961835951041602,0.3993349213758496
26,0.9172367340773836,0.7824499565465649,0.6081175345503019,0.3636605964367968
27,0.9180466446945097,0.7765246513708723,0.5909359965951118,0.3458849055394036
28,0.915499072138519,0.7648846108813052,0.5752510946778756,0.3753001426505718
29,0.9169928109773361,0.7624104752333274,0.571156627716583,0.3132501997265481
30,0.9013895689337843,0.760804237816443,0.5775910484088924,0.30859021473305986
31,0.903174990456454,0.7309213276339025,0.5727142252135397,0.3519516036260767
32,0.8862915968924926,0.7330977940561765,0.5768570278069678,0.2604053185914383
33,0.8885377728034463,0.713265028808435,0.5538384085766236,0.3447600861407
34,0.8778376374099516,0.712644055152946,0.5212908583617571,0.22154015790674245
35,0.8628852921348796,0.7016403380330127,0.5253978556267315,0.3132782892638793
36,0.872389906825263,0.7042937443198427,0.5078572085874838,0.27685423082257166
37,0.8716865398598764,0.675641650876684,0.520738327570734,0.2818811012647979
38,0.8674048378953951,0.6618940576648229,0.5129842730859241,0.23756103730538963
39,0.8554834998067988,0.6650606314995715,0.4756210118612005,0.22919581627262794
40,0.8552294002693532,0.676070058804177,0.46813803351063,0.26128485268824814
