,msfno,resnet,msfno_int,resnet_int
Acc,0.949375,0.835875,0.67125,0.41725
Prec,0.9517209785961432,0.8547414781967013,0.7041084229293368,0.5382534603898808
Rec,0.9498071428869517,0.8365701182844747,0.6762470609311454,0.41666420411938276
F1,0.94994935851235,0.8384828645786924,0.6316819084061511,0.4066563913100537
