,msfno,resnet,msfno_int,resnet_int
Acc,0.9824412946900782,0.8531838375290882,0.9026866934630844,0.5491855299344193
Prec,0.9825512704194908,0.8985442328750993,0.9192083570612479,0.626574012965327
Rec,0.9823963554706832,0.8548959904520137,0.9006580614354918,0.5437507977613312
F1,0.9823328068207968,0.8679193767630047,0.898813229637427,0.5749547497105144
