,msfno,resnet,msfno_int,resnet_int
Acc,0.9885762640152317,0.897609477469854,0.9367463507510049,0.7002327057330231
Prec,0.9888828495570472,0.9266516404742212,0.9421602654738098,0.8841484648932131
Rec,0.9885155525378181,0.8980495255652455,0.9380120888754493,0.6981571602124594
F1,0.9885823397653747,0.9115578361138454,0.9369512941038497,0.7656403279209005
