epoch,T_loss,V_loss,train_time,epoch_time,Tloss_LpLoss.mean,Tloss_LpLoss.std,Tloss_LpLoss.cv,Tloss_LpLoss.min,Tloss_LpLoss.max,Vloss_LpLoss.mean,Vloss_LpLoss.std,Vloss_LpLoss.cv,Vloss_LpLoss.min,Vloss_LpLoss.max,WTloss_LpLoss,WVloss_LpLoss,Teval_R2.mean,Teval_R2.std,Teval_R2.cv,Teval_R2.min,Teval_R2.max,Veval_R2.mean,Veval_R2.std,Veval_R2.cv,Veval_R2.min,Veval_R2.max,Teval_MAE.mean,Teval_MAE.std,Teval_MAE.cv,Teval_MAE.min,Teval_MAE.max,Veval_MAE.mean,Veval_MAE.std,Veval_MAE.cv,Veval_MAE.min,Veval_MAE.max,Teval_MAPE.mean,Teval_MAPE.std,Teval_MAPE.cv,Teval_MAPE.min,Teval_MAPE.max,Veval_MAPE.mean,Veval_MAPE.std,Veval_MAPE.cv,Veval_MAPE.min,Veval_MAPE.max
1,0.14228987288475037,0.1250348093490752,14.88762640953064,17.40893578529358,0.14228987288475037,0.027734532952308655,0.22114672739657812,0.054216302931308746,0.30457085371017456,0.1250348093490752,0.027157088741660118,0.21736980503965564,0.055103547871112823,0.25726810097694397,0.14228987288475037,0.1250348093490752,0.42039809691905977,0.2821559011936188,0.4151293820165254,-2.112708330154419,0.9809573292732239,0.6853747339475722,0.2710855305194855,0.39552310844328853,-1.0386297702789307,0.9733753800392151,0.12272879156470298,0.024366047233343124,0.22647353321178035,0.0443512499332428,0.26885467767715454,0.10755311449368794,0.02395600453019142,0.22295297048806023,0.045898761600255966,0.22023825347423553,13.34966154384613,2.8595945835113525,0.24916862832627612,4.9719157218933105,38.112430572509766,11.475947122725229,2.749030351638794,0.2397864980849554,5.38138484954834,25.60935401916504
2,0.10424020236730576,0.10352415721567851,15.002122163772583,17.515405654907227,0.10424020236730576,0.021625224500894547,0.20823940401610563,0.04624384641647339,0.24194426834583282,0.10352415721567851,0.022300776094198227,0.21533634673045404,0.055923085659742355,0.21235530078411102,0.10424020236730576,0.10352415721567851,0.8020956469774246,0.1874496042728424,0.23965431944851082,-1.187964677810669,0.9869025349617004,0.7844552899163867,0.18410176038742065,0.2348234658716955,-0.3101764917373657,0.9795257449150085,0.08797788394242526,0.01846185512840748,0.21145528007512315,0.03684137389063835,0.22030632197856903,0.08678401166957522,0.018982209265232086,0.2186747587731721,0.04487617686390877,0.1626875251531601,9.631772208213807,1.9487181901931763,0.21516299969389976,4.054342746734619,26.732688903808594,8.991367461189391,1.972859263420105,0.21933932006167012,4.732578277587891,19.568050384521484
3,0.08277822726219893,0.14059892769843813,15.124260425567627,17.915204286575317,0.08277822726219893,0.02257695607841015,0.16079662051071536,0.05525622516870499,0.22665166854858398,0.14059892769843813,0.023270508274435997,0.16542889541286426,0.05210268497467041,0.20133456587791443,0.08277822726219893,0.14059892769843813,0.8716118878126144,0.30943697690963745,0.5117537466077711,-1.6560742855072021,0.9834560751914978,0.6098536361777593,0.2909089922904968,0.477717091121437,-0.6420438289642334,0.9844929575920105,0.07010058992356062,0.017483290284872055,0.16098905841021344,0.04693036153912544,0.19727852940559387,0.10874457444463458,0.01788402535021305,0.1644376484602064,0.04487822577357292,0.16449227929115295,7.500582299232483,1.7177424430847168,0.15533753883474047,5.917903423309326,21.33354949951172,11.08616854652526,1.692188024520874,0.152652536803461,5.879050254821777,18.58021354675293
4,0.07100166863948107,0.08466367577276533,14.934344053268433,17.587509870529175,0.07100166863948107,0.018242673948407173,0.21595810634195234,0.03058207593858242,0.1885250061750412,0.08466367577276533,0.018398191779851913,0.21736086177364825,0.03908953070640564,0.15578784048557281,0.07100166863948107,0.08466367577276533,0.9037190490961075,0.09632799029350281,0.11133488635318538,0.08355408906936646,0.9941261410713196,0.8661950438741653,0.09153008460998535,0.10568475548227367,0.46830499172210693,0.9893660545349121,0.06034033908694982,0.015425958670675755,0.22908531659600637,0.02627595327794552,0.1543808877468109,0.06747087771220812,0.015635618939995766,0.23181997888787065,0.03312338516116142,0.1434197574853897,6.394107530117035,1.6846736669540405,0.24146829180276105,2.817293167114258,16.314119338989258,6.993316234104217,1.6740893125534058,0.2394655660370602,3.2697434425354004,15.454985618591309
5,0.06480539648979902,0.10837667104270723,14.946372985839844,17.517761707305908,0.06480539648979902,0.022974060848355293,0.2144220607999408,0.04047961160540581,0.23073656857013702,0.10837667104270723,0.022688468918204308,0.209404770795177,0.048000968992710114,0.1918843686580658,0.06480539648979902,0.10837667104270723,0.9200120278596878,0.16922099888324738,0.21831867023772109,-0.41350817680358887,0.9863202571868896,0.7773491692921471,0.15305572748184204,0.1969412338204183,0.0615847110748291,0.981346607208252,0.05525868608802557,0.01870511844754219,0.20746421583907135,0.03741997480392456,0.19361072778701782,0.09114849709329151,0.01834763027727604,0.20135287306614297,0.04209453985095024,0.1730331927537918,5.845221570491791,2.0660064220428467,0.2145414349791417,4.422272205352783,23.71260643005371,9.682161739894322,2.0264813899993896,0.20937882592670873,4.445559024810791,20.199047088623047
6,0.061186409391462804,0.08782318494622669,14.962661027908325,17.54594588279724,0.061186409391462804,0.01712746173143387,0.19615810479314053,0.031655047088861465,0.17162494361400604,0.08782318494622669,0.01682434231042862,0.19152487429437423,0.033171188086271286,0.15639501810073853,0.061186409391462804,0.08782318494622669,0.92900981259346,0.11934036016464233,0.1410044079569006,0.06779038906097412,0.993769109249115,0.8491766831231495,0.11007822304964066,0.12967570543405968,0.38125741481781006,0.9932822585105896,0.05219851822406053,0.01413310132920742,0.20598868801866038,0.028605593368411064,0.14907747507095337,0.06916360775866205,0.01415353175252676,0.20467057726726776,0.030605943873524666,0.13762573897838593,5.5100635137557985,1.3876346349716187,0.19434520239789949,3.0426831245422363,14.884212493896484,7.204425039745512,1.3950103521347046,0.19367956103297046,3.9116506576538086,13.657927513122559
7,0.05807603619247675,0.12696686694546352,15.178956031799316,17.783219814300537,0.05807603619247675,0.025348948314785957,0.19950402792781055,0.04076305031776428,0.21251080930233002,0.12696686694546352,0.025239983573555946,0.19875923814615393,0.04273941367864609,0.1878644973039627,0.05807603619247675,0.12696686694546352,0.9355302356481552,0.2600861191749573,0.3879170488255731,-1.4223263263702393,0.9907718896865845,0.6755037355044532,0.24383151531219482,0.36117953125223484,-0.30492639541625977,0.9875034093856812,0.04945017090067268,0.01978573575615883,0.18232268810290714,0.03680821880698204,0.19099237024784088,0.10833582790598037,0.019660312682390213,0.1814561963550634,0.03550243750214577,0.1565724015235901,5.204373694896698,1.5290160179138184,0.1400131289912474,4.9568586349487305,21.098712921142578,10.914261212424627,1.5086508989334106,0.13823006401747467,4.13282585144043,15.732336044311523
8,0.05383889798074961,0.08400925887482506,14.937016010284424,17.483941555023193,0.05383889798074961,0.021152246743440628,0.25302849188768806,0.031141536310315132,0.1795285940170288,0.08400925887482506,0.02176843397319317,0.25885705560096683,0.03819579258561134,0.18611274659633636,0.05383889798074961,0.08400925887482506,0.9450454069375992,0.09924843907356262,0.11461465233839394,0.20858049392700195,0.9932993054389954,0.8681480335810828,0.09066558629274368,0.10447587062932188,0.45301955938339233,0.9902554154396057,0.045791081421077254,0.015320941805839539,0.2499034762524845,0.02700478956103325,0.16713854670524597,0.061723951605104264,0.01644078642129898,0.2660941726974569,0.029898131266236305,0.15674538910388947,4.808900888442993,1.4862892627716064,0.24119723486813516,3.004532814025879,18.832307815551758,6.1856135489448665,1.5714852809906006,0.2538301811007763,3.0955915451049805,14.41045093536377
9,0.05164480509981513,0.09190349316313154,14.947790145874023,17.522504806518555,0.05164480509981513,0.0174684040248394,0.19095767096048738,0.04170312359929085,0.1983679085969925,0.09190349316313154,0.018193455412983894,0.19803540297978742,0.04689877852797508,0.17080338299274445,0.05164480509981513,0.09190349316313154,0.9498863635063172,0.10823144018650055,0.12838944003785313,-0.023237228393554688,0.9859093427658081,0.8455264180425613,0.09990479797124863,0.11817111861180389,0.3130664825439453,0.9839787483215332,0.0439410108551383,0.01603967696428299,0.20424386775245876,0.03683461993932724,0.1800585240125656,0.07899252301643765,0.016831593587994576,0.2132017230933007,0.03936406597495079,0.15625153481960297,4.612348061084747,1.7733895778656006,0.21217391190247228,4.1043596267700195,18.345468521118164,8.40065140194363,1.8525363206863403,0.22070306907933754,4.572627067565918,17.67478370666504
10,0.04938911845907569,0.06142746781309446,15.280275583267212,17.822584629058838,0.04938911845907569,0.01831514574587345,0.29759245615317903,0.024763846769928932,0.19065648317337036,0.06142746781309446,0.018526708707213402,0.30159938671305414,0.028537778183817863,0.14925558865070343,0.04938911845907569,0.06142746781309446,0.9543920601606369,0.047851014882326126,0.05131771317349292,0.5268970727920532,0.9931853413581848,0.9336206316947937,0.04504230245947838,0.04824835687561545,0.6852390766143799,0.990138590335846,0.0419119972512126,0.0172016229480505,0.326547535051776,0.02023688144981861,0.16060465574264526,0.05266872391341224,0.0173858180642128,0.33017101935846094,0.022559326142072678,0.1288391649723053,4.40354403924942,1.8944309949874878,0.3376610757686001,2.171485185623169,19.063114166259766,5.595654699537489,1.9042025804519653,0.34039428314542075,2.3695852756500244,15.213748931884766
