,msfno,resnet,msfno_int,resnet_int
Acc,0.9118,0.7858,0.5588,0.441
Prec,0.9189836408225821,0.805124540291866,0.6691477681374853,0.49873052964665227
Rec,0.9113277439567744,0.7854620959862908,0.5670550870046603,0.4463481552879987
F1,0.9118077523168475,0.7884540493606756,0.5411941427647494,0.4142723135334762
