,msfno,resnet,msfno_int,resnet_int
Acc,0.9372,0.8466,0.6608,0.5602
Prec,0.9396988446091332,0.8612377576533017,0.766545256454448,0.5783628112607334
Rec,0.9376860483314728,0.8473822065072022,0.668879602114378,0.5623680489893842
F1,0.9379930691157496,0.8484519215887008,0.6220560658640513,0.5219932302949292
