epoch,T_loss,V_loss,train_time,epoch_time,Tloss_LpLoss.mean,Tloss_LpLoss.std,Tloss_LpLoss.cv,Tloss_LpLoss.min,Tloss_LpLoss.max,Vloss_LpLoss.mean,Vloss_LpLoss.std,Vloss_LpLoss.cv,Vloss_LpLoss.min,Vloss_LpLoss.max,WTloss_LpLoss,WVloss_LpLoss,Teval_R2.mean,Teval_R2.std,Teval_R2.cv,Teval_R2.min,Teval_R2.max,Veval_R2.mean,Veval_R2.std,Veval_R2.cv,Veval_R2.min,Veval_R2.max,Teval_MAE.mean,Teval_MAE.std,Teval_MAE.cv,Teval_MAE.min,Teval_MAE.max,Veval_MAE.mean,Veval_MAE.std,Veval_MAE.cv,Veval_MAE.min,Veval_MAE.max,Teval_MAPE.mean,Teval_MAPE.std,Teval_MAPE.cv,Teval_MAPE.min,Teval_MAPE.max,Veval_MAPE.mean,Veval_MAPE.std,Veval_MAPE.cv,Veval_MAPE.min,Veval_MAPE.max
1,0.5012675766348839,0.2629500012549143,6.370091438293457,7.722931861877441,0.5012675766348839,0.07700128853321075,0.29219561883190714,0.0958724394440651,0.48438388109207153,0.2629500012549143,0.07489883154630661,0.2850297574694787,0.11835228651762009,0.4471159875392914,0.5012675766348839,0.2629500012549143,-5.02333450345695,0.07115209102630615,19.462775859567568,-0.33345913887023926,0.2396947145462036,0.0018920405280022394,0.07407794892787933,38.03900307851082,-0.2493903636932373,0.21327006816864014,0.4752545922398567,0.07908404618501663,0.33272038529368564,0.06976430863142014,0.5151973962783813,0.2365257101399558,0.0768166109919548,0.3250225353013123,0.08915219455957413,0.455546110868454,49.235405532836914,12.72589111328125,0.4431038933516737,7.344759464263916,87.58169555664062,28.7046505761525,12.650524139404297,0.4408951493355846,9.441972732543945,73.2614974975586
2,0.18937600688636302,0.11970490359124683,6.408792734146118,7.7810492515563965,0.18937600688636302,0.04788399487733841,0.39953081147037084,0.04409041628241539,0.3549710512161255,0.11970490359124683,0.046783000230789185,0.3909831946744011,0.04566948860883713,0.3330055773258209,0.18937600688636302,0.11970490359124683,0.4059367447942495,0.1773754358291626,0.23598462954018276,-0.22683346271514893,0.9786026477813721,0.7545407641501654,0.1681624948978424,0.22289124216210546,-0.03991532325744629,0.9691241979598999,0.16678839272260665,0.04357156530022621,0.41956719426359856,0.03668350353837013,0.3378559947013855,0.10371194235862248,0.04242796450853348,0.4093222588558598,0.039848603308200836,0.31155866384506226,19.614482679367065,5.72001838684082,0.47250793700812216,3.8943707942962646,50.35533142089844,12.130405759054517,5.613216876983643,0.4631844548280451,4.326661109924316,44.043270111083984
3,0.09837195977568626,0.0730411418610149,6.069162607192993,7.576188087463379,0.09837195977568626,0.029597552493214607,0.4037709511544346,0.022982826456427574,0.29305508732795715,0.0730411418610149,0.02870943211019039,0.39286305258103094,0.028945432975888252,0.20845581591129303,0.09837195977568626,0.0730411418610149,0.8262914630174637,0.07494193315505981,0.08259190696964977,-0.1635894775390625,0.991873025894165,0.9084124347520253,0.06969228386878967,0.07673208410008488,0.24313688278198242,0.9896278977394104,0.08424026215821505,0.02541249990463257,0.41217195002928325,0.019953971728682518,0.25286251306533813,0.061357599402230886,0.02436448447406292,0.39691121558594805,0.023817799985408783,0.1688099354505539,9.229400174140931,3.0495240688323975,0.460223403511961,2.0661356449127197,30.69843864440918,6.604841550191243,2.9569480419158936,0.44761457403610483,2.3105783462524414,21.326988220214844
4,0.06990891551226378,0.05873739819914576,6.027164936065674,7.3370139598846436,0.06990891551226378,0.023670008406043053,0.4020998154504933,0.02068084105849266,0.24632340669631958,0.05873739819914576,0.022820832207798958,0.3882604451401026,0.024824537336826324,0.19176127016544342,0.06990891551226378,0.05873739819914576,0.9127684316635132,0.05800067260861397,0.061946996630980085,-0.10056614875793457,0.9970085024833679,0.9378306733237373,0.05204997584223747,0.055508882082851006,0.41852474212646484,0.9937825202941895,0.059039195463061335,0.019246656447649002,0.3907349157847154,0.01714189536869526,0.21006731688976288,0.049192941496296536,0.018655747175216675,0.37895825572158887,0.020543262362480164,0.14752471446990967,6.302287303924561,2.141200304031372,0.4171184637811287,1.8978668451309204,25.65418815612793,5.145925968412369,2.1191320419311523,0.41165856884301794,2.214289426803589,19.101760864257812
5,0.05695455569773913,0.048126877004665045,6.04459547996521,7.46991229057312,0.05695455569773913,0.01998598501086235,0.4147161929527698,0.017616888508200645,0.20450201630592346,0.048126877004665045,0.019481049850583076,0.404440825116114,0.018267393112182617,0.18160170316696167,0.05695455569773913,0.048126877004665045,0.940762030005455,0.03857969120144844,0.04025306668058064,0.06312441825866699,0.9974319338798523,0.9595454070303175,0.03320290148258209,0.034606648462916244,0.6380664110183716,0.9962691068649292,0.04754646387696266,0.015922175720334053,0.3982538734481049,0.014917144551873207,0.15842217206954956,0.040032431897189885,0.015711748972535133,0.39214103013493823,0.015697680413722992,0.15052558481693268,5.030816586017608,1.7771224975585938,0.4238280576999948,1.6002240180969238,19.501359939575195,4.216029216372777,1.7959226369857788,0.4257491202862019,1.726983666419983,14.860031127929688
6,0.04692785622924566,0.0412852687258569,6.102283477783203,7.582803010940552,0.04692785622924566,0.016712436452507973,0.40679960936012316,0.017726382240653038,0.18739664554595947,0.0412852687258569,0.016976116225123405,0.4108496146057536,0.019597075879573822,0.1784486025571823,0.04692785622924566,0.0412852687258569,0.9597762372493744,0.030147109180688858,0.031107318573696367,0.19648253917694092,0.9974951148033142,0.9701347521373204,0.02657613344490528,0.027396457103381712,0.6505255699157715,0.9961381554603577,0.03879384570941329,0.01280231960117817,0.3844044024337658,0.014956673607230186,0.1457054615020752,0.033476473704453495,0.013317372649908066,0.39751705778742485,0.01670200005173683,0.142114520072937,4.1035804901123045,1.4267489910125732,0.4081904537132785,1.5069386959075928,15.339539527893066,3.5177625285254583,1.5246895551681519,0.433240384976917,1.716199517250061,14.981919288635254
7,0.03969359975680709,0.032854551331154884,6.091858863830566,7.596832990646362,0.03969359975680709,0.015729641541838646,0.4793438732234313,0.009509404189884663,0.1628427803516388,0.032854551331154884,0.015814244747161865,0.4804679564019683,0.011526618152856827,0.14255212247371674,0.03969359975680709,0.032854551331154884,0.9713727912902832,0.020915774628520012,0.02132788684580079,0.39325153827667236,0.9987004995346069,0.9814816088903517,0.01756245829164982,0.017895196721704754,0.7769837975502014,0.9979166388511658,0.03240167048946023,0.01227206364274025,0.4643175357177012,0.008204293437302113,0.12490334361791611,0.02650978516728159,0.012710357084870338,0.47870449232877677,0.009420451708137989,0.1179765909910202,3.4424251761436464,1.353702187538147,0.48186042623540715,0.8959997296333313,12.951220512390137,2.8222964037032354,1.4187979698181152,0.502058052711257,0.9288254380226135,11.635316848754883
8,0.034799421992152926,0.03537155312323381,6.056528329849243,7.445581436157227,0.034799421992152926,0.012594450265169144,0.35714744493778333,0.01583816669881344,0.1407262682914734,0.03537155312323381,0.012311945669353008,0.34757046557930393,0.018893158063292503,0.11662150174379349,0.034799421992152926,0.03537155312323381,0.9781356650590897,0.018411559984087944,0.018830482027128427,0.5468708276748657,0.9971871376037598,0.978403419729263,0.015049891546368599,0.01538335402560045,0.8507390022277832,0.9963051676750183,0.02828285985440016,0.009447108022868633,0.3216864527852523,0.013196348212659359,0.1140628308057785,0.02952581788930628,0.009447968564927578,0.319630905206352,0.015500846318900585,0.0956815779209137,3.006725203037262,1.0413094758987427,0.3386161141218033,1.3195900917053223,11.727341651916504,3.0988981988694935,1.0708273649215698,0.3452423531676201,1.554383397102356,9.387372970581055
9,0.03158181165531278,0.028924105984587518,6.116337537765503,7.540999412536621,0.03158181165531278,0.012195493094623089,0.423253785469066,0.013263314962387085,0.12977105379104614,0.028924105984587518,0.01189673412591219,0.4108502959699685,0.013315587304532528,0.09976412355899811,0.03158181165531278,0.028924105984587518,0.9819916781187058,0.013695490546524525,0.013897473059047817,0.6377111673355103,0.9980813264846802,0.9859015771320888,0.010859536938369274,0.011015288632528443,0.8907710313796997,0.9980822205543518,0.0255250689573586,0.00953053031116724,0.4008980721312832,0.010900169610977173,0.10434660315513611,0.02395757586355247,0.009579386562108994,0.399358559316335,0.010731902904808521,0.08555557578802109,2.708114762544632,1.058377981185913,0.4176974881368847,1.0171047449111938,10.588068962097168,2.5488053881932817,1.074368953704834,0.42106774938908115,1.0164337158203125,9.07458782196045
10,0.029204255145043136,0.029620705586340692,6.301404714584351,7.666957855224609,0.029204255145043136,0.010459995828568935,0.35488046405137474,0.01365180779248476,0.123519666492939,0.029620705586340692,0.00997055321931839,0.3362571225903426,0.01606198027729988,0.09535768628120422,0.029204255145043136,0.029620705586340692,0.984613844871521,0.014771081507205963,0.015016599797659952,0.7113794088363647,0.9986212849617004,0.9841175410482619,0.012379387393593788,0.012579774160057376,0.8825950026512146,0.9982013702392578,0.023430205561220645,0.007690970785915852,0.3179666639508843,0.011668307706713676,0.09551844000816345,0.024296219505014875,0.007546956185251474,0.3103476728680675,0.013006151653826237,0.07696554809808731,2.487428659915924,0.8398367166519165,0.32642245752235777,1.2915689945220947,9.932900428771973,2.590287011767191,0.8468526601791382,0.32672590054903855,1.3439180850982666,7.410453796386719
11,0.027562152940779926,0.024945786607170863,6.07453989982605,7.412630319595337,0.027562152940779926,0.0107030738145113,0.4319926318328158,0.009645063430070877,0.10756499320268631,0.024945786607170863,0.010768508538603783,0.4313488036863829,0.011481119319796562,0.08457796275615692,0.027562152940779926,0.024945786607170863,0.9862241905927658,0.010671659372746944,0.010789585704568687,0.7753983736038208,0.9990404844284058,0.9892433011342608,0.009075343608856201,0.009174298106753716,0.9171966910362244,0.9986646771430969,0.022014804752543568,0.008014991879463196,0.40551548006945476,0.008148424327373505,0.08629829436540604,0.019855274005778252,0.008168324828147888,0.4110922084637447,0.009630123153328896,0.06524277478456497,2.334087520599365,0.905982255935669,0.4355646637805275,0.8231683373451233,8.98619556427002,2.0952664310970004,0.9472638368606567,0.4518718885640184,0.9205642342567444,8.631451606750488
12,0.026096858471632005,0.02577323682369694,6.061290502548218,7.5060155391693115,0.026096858471632005,0.010784714482724667,0.42557435269694355,0.010487845167517662,0.1052386686205864,0.02577323682369694,0.011231860145926476,0.43547808887796957,0.01109522208571434,0.08546285331249237,0.026096858471632005,0.02577323682369694,0.9877324367761612,0.010949439369142056,0.011076829521507974,0.8089473247528076,0.9990372657775879,0.988551051843734,0.009594826959073544,0.00970630132718833,0.9188109040260315,0.9990187883377075,0.020801382699981334,0.0077824462205171585,0.3887138548183636,0.008609783835709095,0.07812640070915222,0.02033318638328522,0.008177501149475574,0.4019449769312027,0.009156218729913235,0.06560344994068146,2.2055270652770997,0.8671005964279175,0.40774170120399206,0.879281759262085,8.53266716003418,2.161179540649293,0.9191799163818359,0.4251332938633602,0.9595662355422974,8.370877265930176
13,0.02521154500171542,0.024267859520420196,6.032172918319702,7.576747417449951,0.02521154500171542,0.010144729167222977,0.423379320091249,0.006803239230066538,0.09755333513021469,0.024267859520420196,0.010462811216711998,0.43088986853483474,0.007614807691425085,0.07586456835269928,0.02521154500171542,0.024267859520420196,0.9884554265737534,0.009456225670874119,0.009553906947332847,0.8599746227264404,0.9990338087081909,0.9898651942374215,0.008199235424399376,0.008283398448414235,0.9372269511222839,0.9989602565765381,0.020024449767544864,0.007872264832258224,0.4007277287386196,0.005493619944900274,0.08575604110956192,0.019931314956574214,0.008296373300254345,0.4160403602204693,0.006530507002025843,0.06646932661533356,2.118002624750137,0.8791595101356506,0.41554554617386535,0.5846875905990601,9.430532455444336,2.1507423113262845,0.936373770236969,0.43522912539633923,0.6998337507247925,8.248261451721191
14,0.024165765250101685,0.022904343814367338,6.099114418029785,7.605866193771362,0.024165765250101685,0.01120892446488142,0.48482329344933167,0.007511228322982788,0.10854817181825638,0.022904343814367338,0.010644447058439255,0.46511378439930534,0.008841914124786854,0.09346120059490204,0.024165765250101685,0.022904343814367338,0.9894962154626846,0.00964704155921936,0.00973882519142584,0.8461465239524841,0.9990948438644409,0.9909517064927116,0.008096357807517052,0.008170314344040015,0.9266133308410645,0.9986986517906189,0.0191872491966933,0.007819902151823044,0.44260117980510183,0.006467053666710854,0.07476416230201721,0.017574596869212294,0.007529524154961109,0.42867708791428455,0.007510278839617968,0.063426673412323,2.0353309168815614,0.8566069602966309,0.46189358926223745,0.6752529740333557,8.347687721252441,1.8510730720701671,0.8303309082984924,0.4487442921418343,0.7867864370346069,6.204268932342529
15,0.02341984713077545,0.02335621750662251,6.091161012649536,7.455620050430298,0.02341984713077545,0.009760302491486073,0.4229983625835983,0.008934960700571537,0.09228035807609558,0.02335621750662251,0.009872757829725742,0.4225254000478135,0.009006338194012642,0.08390402048826218,0.02341984713077545,0.02335621750662251,0.9901460185050964,0.009195233695209026,0.009285113901680018,0.8459795713424683,0.9988904595375061,0.9904591611453465,0.00797539483755827,0.008052428279003609,0.9386039972305298,0.9987327456474304,0.018560058649629355,0.007088085636496544,0.39201526035922457,0.007310268934816122,0.08303408324718475,0.01831034507365927,0.0072770980186760426,0.39743434218279,0.00750722736120224,0.06175268068909645,1.9644058136940001,0.736103892326355,0.39193254143104267,0.745568573474884,8.606477737426758,1.9028105622246152,0.7618498206138611,0.40039517259785806,0.7929399609565735,5.746144771575928
16,0.022784248538315295,0.020742753402344764,6.098692178726196,7.523353338241577,0.022784248538315295,0.00961911678314209,0.4648665182530959,0.006387499161064625,0.1104293018579483,0.020742753402344764,0.009328866377472878,0.4494034928661056,0.0073594083078205585,0.08328661322593689,0.022784248538315295,0.020742753402344764,0.9906927826404571,0.007875769399106503,0.0079360703640544,0.8539407849311829,0.9993370175361633,0.9925108977726528,0.00654729176312685,0.0065968280864349155,0.9508009552955627,0.9990231990814209,0.01803357865102589,0.007054092362523079,0.43730081420225914,0.005083992145955563,0.07528333365917206,0.01617645716205949,0.007030888460576534,0.4343762816626781,0.005728668067604303,0.059324637055397034,1.9094793167114257,0.7696681022644043,0.4581380975662023,0.5328754186630249,7.933342456817627,1.6881627582368397,0.7686691880226135,0.45504666616373035,0.6022459268569946,5.759178161621094
17,0.022116172768175603,0.021891548046990048,6.011505126953125,7.311776399612427,0.022116172768175603,0.008875257335603237,0.4133099658526215,0.0073617566376924515,0.09786646068096161,0.021891548046990048,0.009254048578441143,0.42230926706716193,0.007823401130735874,0.07263610512018204,0.022116172768175603,0.021891548046990048,0.9912529740333557,0.008205176331102848,0.008275892694340224,0.8716017007827759,0.9994699954986572,0.9914481469563076,0.007296680007129908,0.007359816479052974,0.9408599138259888,0.9991341829299927,0.01755524005740881,0.006550264544785023,0.3883750651176192,0.005894368514418602,0.08353566378355026,0.017193347644356507,0.006974851246923208,0.40534669011328744,0.006297629326581955,0.05739600956439972,1.860099280834198,0.6980791687965393,0.39719377994471083,0.6171512007713318,8.832021713256836,1.7915834585825603,0.7479225993156433,0.41726694231162004,0.6305740475654602,6.094418048858643
